Stories,,,,
Sales by Items By Group,,,,
NO WHIPPED CREAM,,147.0,0.00,
ADD WHITE MOCHA MEDIUM,,1155.0,"37,790.81",
ADD WHITE MOCHA LARGE,,305.0,"10,247.69",
1 SHOT DECAFE,,523.0,0.00,
2 SHOT DECAFE,,765.0,0.00,
3 SHOT DECAFE,,140.0,0.00,
ADD MOCHA LARGE,,64.0,"2,188.14",
ADD MOCHA MEDIUM,,101.0,"3,425.80",
19-Jan-26,Years:2025 Months:0,,Page 7 of, 359
Description,Barcode,Qty,Total Amount,
STRAWBERRY DRIZZLE TOPPING,,49.0,"1,610.69",
ADD TOFFEE NUT SMALL,,5.0,"120.12",
ADD TOFFEE NUT MEDIUM,,6.0,"200.03",
ADD BANANA SAUCE SMALL,,31.0,"983.81",
ADD BANANA SAUCE MEDIUM,,51.0,"1,613.81",
ADD BANANA SAUCE LARGE,,6.0,"393.39",
ADD RASPBERRY SAUCE SMALL,,61.0,"2,033.33",
ADD RASPBERRY SAUCE MEDIUM,,69.0,"2,303.33",
ADD RASPBERRY SAUCE LARGE,,26.0,"1,746.67",
ADD MATCHA SMALL,,5.0,"225.23",
ADD MATCHA MEDIUM,,1.0,"54.05",
ADD MATCHA LARGE,,3.0,"186.19",
Total by Group: ADD SYRUP,,32117.0,"1,084,265.56",
Group: REPLACE,,,,
REPLACE ALMOND SMALL,,453.0,"43,617.64",
REPLACE ALMOND MEDIUM,,632.0,"78,077.59",
REPLACE COCONUT SMALL,,584.0,"55,127.46",
REPLACE COCONUT MEDIUM,,681.0,"67,769.68",
REPLACE SKIMMED MILK SMALL,,2445.0,0.00,
REPLACE SKIMMED MILK MEDIUM,,3421.0,0.00,
REPLACE LACTOSE FREE SMALL,,2697.0,0.00,
REPLACE LACTOSE FREE MEDIUM,,3069.0,0.00,
REPLACE SUGAR FREE OAT MEDIUM,,234.0,"31,192.07",
REPLACE SUGAR FREE OAT SMALL,,174.0,"16,846.67",
REPLACE SUGAR FREE SOYA SMALL,,65.0,"6,568.02",
REPLACE SUGAR FREE SOYA MEDIUM,,56.0,"7,646.73",
REPLACE SUGAR FREE ALMOND SMALL,,178.0,"18,034.32",
REPLACE SUGAR FREE ALMOND MEDIUM,,218.0,"29,540.90",
REPLACE ALMOND LARGE,,197.0,"29,879.28",
REPLACE COCONUT LARGE,,226.0,"23,896.12",
REPLACE LACTOSE FREE LARGE,,635.0,0.00,
REPLACE SKIMMED MILK LARGE,,913.0,0.00,
REPLACE SUGAR FREE ALMOND LARGE,,86.0,"14,423.57",
REPLACE SUGAR FREE OAT LARGE,,60.0,"9,991.59",
REPLACE SUGAR FREE SOYA LARGE,,17.0,"2,870.12",
ADD FULL FAT MILK,,23.0,0.00,
ADD SKIMMED MILK,,4.0,0.00,
Total by Group: REPLACE,,17068.0,"435,481.77",
19-Jan-26,Years:2025 Months:0,,Page 8 of, 359
Description,Barcode,Qty,Total Amount,
Total by Division: COLD BAR SECTION,,85931.0,"10,489,924.12",
Division: GRAB&GO BEVERAGES,,,,
Group: SOFT DRINKS,,,,
WATER,,14487.0,"544,524.16",
ORANGE JUICE,,428.0,"72,347.00",
LEMON JUICE,,164.0,"27,747.90",
MAWARDI JUICE,,79.0,"13,323.42",
APPLE JUICE,,105.0,"17,692.49",
POMEGRANATE JUICE,,108.0,"18,200.15",
SAN BENEDETTO CLEMENTINE 330ML/24,,270.0,"45,398.05",
SAN BENEDETTO GLASS 250ML/24,,1743.0,"237,449.85",
SAN BENEDETTO LEMON 330ML/24,,199.0,"33,522.67",
RIM SPARKLING WATER-250 ML,,677.0,"44,543.64",
Total by Group: SOFT DRINKS,,18260.0,"1,054,749.33",
Total by Division: GRAB&GO BEVERAGES,,18260.0,"1,054,749.33",
Division: COFFEE PASTRY,,,,
Group: COFFEE PASTRY,,,,
DOUBLE CHOCOLATE MUFFIN,,345.0,"71,166.55",
ORANGE CAKE,,94.0,"28,590.00",
RED VELVET CAKE,,169.0,"51,721.02",
BROWNIES CAKE,,986.0,"158,524.63",
LAZY CAKE,,637.0,"205,562.19",
BLUEBERRY CHEESE CAKE,,257.0,"93,734.83",
FRAMBOISE CHEESE CAKE,,164.0,"59,987.09",
LOTUS CHEESE CAKE,,193.0,"70,940.54",
CHOCOLATE MUFFIN,,9.0,"1,800.36",
CARROT CAKE,,203.0,"59,086.22",
BLUEBERRY MUFFIN,,209.0,"43,128.59",
APRICOT SABLE,,71.0,"16,953.78",
CHOCOLATE SABLE,,262.0,"62,853.81",
RED VELVET MUFFIN_,,43.0,"8,801.32",
Total by Group: COFFEE PASTRY,,3642.0,"932,850.93",
Total by Division: COFFEE PASTRY,,3642.0,"932,850.93",
Division: CROISSANT,,,,
Group: CROISSANT,,,,
CHEESE CROISSANT,,851.0,"179,518.50",
THYME CROISSANT,,286.0,"55,614.41",
19-Jan-26,Years:2025 Months:0,,Page 9 of, 359
