Stories,,,,,,,,,
Theoretical Profit By Item,,,,,,,,,
22-Jan-26,,,Years:2025 Month:0,,,,Page 1 of,, 396
Product Desc,Qty,Total Price,,Total Cost,Total Cost %,Total Profit,,Total Profit %,
Stories - Bir Hasan,,,,,,,,,
TAKE AWAY,,,,,,,,,
BEVERAGES,,,,,,,,,
COLD BAR SECTION,,,,,,,,,
CHOCOLATE SALTED CAKE,158.00,"50,410.21",,"22,625.60",44.88,"27,784.61",,55.12,
CHRISTMAS ORIGINAL ECLAIR,117.00,"29,021.26",,"22,339.20",76.98,"6,682.06",,23.02,
CHRISTMAS PISTACHIO ECLAIR,3.00,"1,081.08",,"572.80",52.98,"508.28",,47.02,
ECLAIR CARAMEL,136.00,"33,952.34",,"17,852.27",52.58,"16,100.08",,47.42,
ECLAIR CHOCOLAT,203.00,"50,949.46",,"26,647.13",52.30,"24,302.33",,47.70,
ECLAIR COFFEE,17.00,"4,621.62",,"2,231.53",48.28,"2,390.09",,51.72,
ECLAIR ORIGINAL,240.00,"60,854.87",,"31,504.00",51.77,"29,350.87",,48.23,
FONDANT AU CHOCOLAT,225.00,"79,166.67",,"46,987.50",59.35,"32,179.17",,40.65,
MACARONS,264.00,"70,927.93",,"38,710.54",54.58,"32,217.39",,45.42,
Total By Division:,"1,363.00","380,985.44",,"209,470.57",54.98,"171,514.86",,45.02,
FROZEN YOGHURT,,,,,,,,,
ARABESCHI COCCO SNAK,2.00,"190.09",,"91.31",48.03,"98.78",,51.97,
BLUEBERRIES,469.00,"33,592.61",,"13,991.83",41.65,"19,600.78",,58.35,
BLUEBERRIES COMBO,"4,381.00",0.00,,"130,699.83",0.00,"-130,699.83",,100.00,
BLUEBERRY YOGHURT COMBO MEDIUM,463.00,"191,823.27",,"39,294.99",20.48,"152,528.29",,79.52,
BLUEBERRY YOGHURT COMBO SMALL,"1,012.80","336,651.92",,"65,419.32",19.43,"271,232.60",,80.57,
BLUEBERRY YOGHURT COMBO X-LARGE,73.50,"41,491.32",,"10,103.31",24.35,"31,388.02",,75.65,
BLUEBERRY YOGHURT ,20.50,"7,304.05",,"1,739.84",23.82,"5,564.21",,76.18,
22-Jan-26,,,Years:2025 Month:0,,,,Page 10 of,, 396
